744-,-,-,-,-,-
0.002028,-0.441375,0.052852,0.184204,-0.071717,0.014092
0.004336,-0.437518,0.054846,0.178884,-0.070785,0.005323
0.007987,-0.431222,0.055969,0.174322,-0.069236,-0.000903
0.012398,-0.419179,0.056455,0.167524,-0.066263,-0.002414
0.016806,-0.399765,0.056495,0.155826,-0.060929,0.000837
0.018560,-0.375246,0.056328,0.137982,-0.053569,0.007771
0.016528,-0.352283,0.056304,0.114546,-0.046829,0.016060
0.014091,-0.339234,0.057043,0.087681,-0.042855,0.023192
0.014794,-0.340076,0.059670,0.060572,-0.040761,0.027770
0.018002,-0.352137,0.064761,0.036318,-0.038512,0.029113
0.020946,-0.369641,0.071178,0.016914,-0.035479,0.027163
0.022378,-0.386953,0.076824,0.002895,-0.032385,0.022740
0.023321,-0.400583,0.080321,-0.006085,-0.030138,0.017226
0.025462,-0.410311,0.081754,-0.010793,-0.029013,0.011875
0.029200,-0.416143,0.082283,-0.012911,-0.028304,0.006976
0.033403,-0.416768,0.083101,-0.014852,-0.026728,0.002296
